159,"['16.3340666667,-93.2109666667', '30/01/2020']"
160,"['16.3340666667,-93.2109666667', '30/01/2020']"
161,"['16.3340666667,-93.2109666667', '30/01/2020']"
162,"['16.3340666667,-93.2109666667', '30/01/2020']"
163,"['16.3340666667,-93.2109666667', '30/01/2020']"
164,"['16.3340666667,-93.2109666667', '30/01/2020']"
165,"['16.3111033333,-93.2349216667', '30/01/2020']"
166,"['16.3111033333,-93.2349216667', '30/01/2020']"
167,"['16.3111033333,-93.2349216667', '30/01/2020']"
168,"['16.3111033333,-93.2349216667', '30/01/2020']"
169,"['16.3111033333,-93.2349216667', '30/01/2020']"
170,"['16.3111033333,-93.2349216667', '30/01/2020']"
171,"['16.3111033333,-93.2349216667', '30/01/2020']"
172,"['16.3111033333,-93.2349216667', '30/01/2020']"
173,"['16.3111033333,-93.2349216667', '30/01/2020']"
174,"['16.28858,-93.2578133333', '30/01/2020']"
175,"['16.28858,-93.2578133333', '30/01/2020']"
176,"['16.28858,-93.2578133333', '30/01/2020']"
177,"['16.28858,-93.2578133333', '30/01/2020']"
178,"['16.28858,-93.2578133333', '30/01/2020']"
179,"['16.28858,-93.2578133333', '30/01/2020']"
180,"['16.28858,-93.2578133333', '30/01/2020']"
181,"['16.28858,-93.2578133333', '30/01/2020']"
182,"['16.2718266667,-93.2833933333', '30/01/2020']"
183,"['16.2718266667,-93.2833933333', '30/01/2020']"
184,"['16.2718266667,-93.2833933333', '30/01/2020']"
185,"['16.2718266667,-93.2833933333', '30/01/2020']"
186,"['16.2718266667,-93.2833933333', '30/01/2020']"
187,"['16.2718266667,-93.2833933333', '30/01/2020']"
188,"['16.2718266667,-93.2833933333', '30/01/2020']"
189,"['16.2718266667,-93.2833933333', '30/01/2020']"
190,"['16.2718266667,-93.2833933333', '30/01/2020']"
191,"['16.259265,-93.3100933333', '30/01/2020']"
192,"['16.259265,-93.3100933333', '30/01/2020']"
193,"['16.259265,-93.3100933333', '30/01/2020']"
194,"['16.259265,-93.3100933333', '30/01/2020']"
195,"['16.259265,-93.3100933333', '30/01/2020']"
196,"['16.259265,-93.3100933333', '30/01/2020']"
197,"['16.259265,-93.3100933333', '30/01/2020']"
198,"['16.259265,-93.3100933333', '30/01/2020']"
199,"['16.256455,-93.340435', '30/01/2020']"
200,"['16.256455,-93.340435', '30/01/2020']"
201,"['16.256455,-93.340435', '30/01/2020']"
202,"['16.256455,-93.340435', '30/01/2020']"
203,"['16.256455,-93.340435', '30/01/2020']"
204,"['16.256455,-93.340435', '30/01/2020']"
205,"['16.256455,-93.340435', '30/01/2020']"
206,"['16.256455,-93.340435', '30/01/2020']"
207,"['16.256455,-93.340435', '30/01/2020']"
208,"['16.2592916667,-93.3695383333', '30/01/2020']"
209,"['16.2592916667,-93.3695383333', '30/01/2020']"
210,"['16.2592916667,-93.3695383333', '30/01/2020']"
211,"['16.2592916667,-93.3695383333', '30/01/2020']"
212,"['16.2592916667,-93.3695383333', '30/01/2020']"
213,"['16.2592916667,-93.3695383333', '30/01/2020']"
214,"['16.2592916667,-93.3695383333', '30/01/2020']"
215,"['16.2592916667,-93.3695383333', '30/01/2020']"
216,"['16.2617783333,-93.3987833333', '30/01/2020']"
217,"['16.2617783333,-93.3987833333', '30/01/2020']"
218,"['16.2617783333,-93.3987833333', '30/01/2020']"
219,"['16.2617783333,-93.3987833333', '30/01/2020']"
220,"['16.2617783333,-93.3987833333', '30/01/2020']"
221,"['16.2617783333,-93.3987833333', '30/01/2020']"
222,"['16.2617783333,-93.3987833333', '30/01/2020']"
223,"['16.2617783333,-93.3987833333', '30/01/2020']"
224,"['16.2617783333,-93.3987833333', '30/01/2020']"
225,"['16.2615283333,-93.4266933333', '30/01/2020']"
226,"['16.2615283333,-93.4266933333', '30/01/2020']"
227,"['16.2615283333,-93.4266933333', '30/01/2020']"
228,"['16.2615283333,-93.4266933333', '30/01/2020']"
229,"['16.2615283333,-93.4266933333', '30/01/2020']"
230,"['16.2615283333,-93.4266933333', '30/01/2020']"
231,"['16.2615283333,-93.4266933333', '30/01/2020']"
232,"['16.2615283333,-93.4266933333', '30/01/2020']"
233,"['16.2608066667,-93.44876', '30/01/2020']"
234,"['16.2608066667,-93.44876', '30/01/2020']"
235,"['16.2608066667,-93.44876', '30/01/2020']"
236,"['16.2608066667,-93.44876', '30/01/2020']"
237,"['16.2608066667,-93.44876', '30/01/2020']"
238,"['16.2608066667,-93.44876', '30/01/2020']"
239,"['16.2608066667,-93.44876', '30/01/2020']"
240,"['16.2608066667,-93.44876', '30/01/2020']"
241,"['16.2608066667,-93.44876', '30/01/2020']"
242,"['16.2625166667,-93.4677066667', '30/01/2020']"
243,"['16.2625166667,-93.4677066667', '30/01/2020']"
244,"['16.2625166667,-93.4677066667', '30/01/2020']"
245,"['16.2625166667,-93.4677066667', '30/01/2020']"
246,"['16.2625166667,-93.4677066667', '30/01/2020']"
247,"['16.2625166667,-93.4677066667', '30/01/2020']"
248,"['16.2625166667,-93.4677066667', '30/01/2020']"
249,"['16.2625166667,-93.4677066667', '30/01/2020']"
250,"['16.2624683333,-93.485995', '30/01/2020']"
251,"['16.2624683333,-93.485995', '30/01/2020']"
252,"['16.2624683333,-93.485995', '30/01/2020']"
253,"['16.2624683333,-93.485995', '30/01/2020']"
254,"['16.2624683333,-93.485995', '30/01/2020']"
255,"['16.2624683333,-93.485995', '30/01/2020']"
256,"['16.2624683333,-93.485995', '30/01/2020']"
257,"['16.2624683333,-93.485995', '30/01/2020']"
258,"['16.2624683333,-93.485995', '30/01/2020']"
259,"['16.2610283333,-93.5054966667', '30/01/2020']"
260,"['16.2610283333,-93.5054966667', '30/01/2020']"
261,"['16.2610283333,-93.5054966667', '30/01/2020']"
262,"['16.2610283333,-93.5054966667', '30/01/2020']"
263,"['16.2610283333,-93.5054966667', '30/01/2020']"
264,"['16.2610283333,-93.5054966667', '30/01/2020']"
265,"['16.2610283333,-93.5054966667', '30/01/2020']"
266,"['16.2610283333,-93.5054966667', '30/01/2020']"
267,"['16.2612416667,-93.5251016667', '30/01/2020']"
268,"['16.2612416667,-93.5251016667', '30/01/2020']"
269,"['16.2612416667,-93.5251016667', '30/01/2020']"
270,"['16.2612416667,-93.5251016667', '30/01/2020']"
271,"['16.2612416667,-93.5251016667', '30/01/2020']"
272,"['16.2612416667,-93.5251016667', '30/01/2020']"
273,"['16.2612416667,-93.5251016667', '30/01/2020']"
274,"['16.2612416667,-93.5251016667', '30/01/2020']"
275,"['16.2612416667,-93.5251016667', '30/01/2020']"
276,"['16.26366,-93.5474466667', '30/01/2020']"
277,"['16.26366,-93.5474466667', '30/01/2020']"
278,"['16.26366,-93.5474466667', '30/01/2020']"
279,"['16.26366,-93.5474466667', '30/01/2020']"
280,"['16.26366,-93.5474466667', '30/01/2020']"
281,"['16.26366,-93.5474466667', '30/01/2020']"
282,"['16.26366,-93.5474466667', '30/01/2020']"
283,"['16.26366,-93.5474466667', '30/01/2020']"
284,"['16.2638916667,-93.5722366667', '30/01/2020']"
285,"['16.2638916667,-93.5722366667', '30/01/2020']"
286,"['16.2638916667,-93.5722366667', '30/01/2020']"
287,"['16.2638916667,-93.5722366667', '30/01/2020']"
288,"['16.2638916667,-93.5722366667', '30/01/2020']"
289,"['16.2638916667,-93.5722366667', '30/01/2020']"
290,"['16.2638916667,-93.5722366667', '30/01/2020']"
291,"['16.2638916667,-93.5722366667', '30/01/2020']"
292,"['16.2638916667,-93.5722366667', '30/01/2020']"
293,"['16.2627266667,-93.6006166667', '30/01/2020']"
